"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",1030563,"Anchovies, salted or in brine, not dried or smoked",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030791,"Aquatic invertebrates nes, fresh or chilled, live",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",1030799,"Aquatic invertebrates nes, frozen or preserved",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030830,"Aquatic invertebrates: jellyfish (Rhopilema spp.), live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during smoking",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030890,"Aquatic invertebrates: other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030819,"Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothurioidea), frozen, dried, salted or in brine, smoked, whether or not cooked before or during the smoking process",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030811,"Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothurioidea), live, fresh or chilled",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030829,"Aquatic invertebrates: sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus), frozen, dried, salted or in brine, smoked, whether or not cooked before or during smoking process",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030821,"Aquatic invertebrates: sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echichinus esculentus), live, fresh or chilled",40
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",1030812,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), frozen",40
