"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220890,"Alcoholic liqueurs nes",40
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41604,"Processed Fish",4160416,"Anchovies, prepared or preserved, not minced",40
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",4200850,"Apricots, otherwise prepared or preserved",40
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160563,"Aquatic invertebrates: jellyfish, prepared or preserved",40
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160569,"Aquatic invertebrates: other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved",40
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160561,"Aquatic invertebrates: sea cucumbers, prepared or preserved",40
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160562,"Aquatic invertebrates: sea urchins, prepared or preserved",40
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",4200560,"Asparagus, prepared or preserved, not frozen/vinegar",40
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",4200559,"Beans nes, prepared or preserved, not frozen/vinegar",40
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42005,"Other Processed Vegetables",4200551,"Beans, shelled, prepared/preserved, not frozen/vinega",40
